id,title,description,availability,condition,price,link,image_link,brand,additional_image_link,age_group,color,gender,item_group_id,google_product_category,material,inventory,pattern,product_type,sale_price,sale_price_effective_date,shipping,shipping_weight,size,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
9146,libreta c/regla/boligrafo juventus of973 transparente,libreta de 60 hojas rayadas (120 páginas) y regla impresa en su cubierta plástica. incluye bolígrafo de plástico traslúcido con clip de palanca  block de notas y banderas adhesivas.,in stock,new,27.34 MXN,https://printec.mx/product/libreta-juventus/,https://www.doblevela.com/images/large/OF973_lrg.jpg,OF973 A120027,https://www.doblevela.com/images/large/OF973_lrg.jpg,,"transparente,rojo,azul",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,0,JUVENTUS,LIBRETAS,27.34 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13.2 x 10 cm,Unidad x Empaque: 100,Características caja master medida: 29 x 25.5 x 41 cm,Características caja master peso: 10,
8775,carpeta con libreta de notas cadillac ofc4860 negro,carpeta de curpiel con block tamaño carta de 29 hojas rayadas  compartimento tipo folder para documentos  división con cierre  ventana plástica y porta credencial.,in stock,new,165.57 MXN,https://printec.mx/product/carpeta-cadillac/,https://www.doblevela.com/images/large/OFC4860_lrg.jpg,OFC4860 A080005,https://www.doblevela.com/images/large/OFC4860_lrg.jpg,,negro,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Curpiel,724,CADILLAC,PORTAFOLIOS Y CARPETAS,165.57 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 25 x 34 cm,Unidad x Empaque: 20,Características caja master medida: 43 x 27.5 x 35.5 cm,Características caja master peso: 12.8,
11907,portafolio ecologico green top pec2728 beige,portafolios de cartón con broches de presión  block de 20 hojas rayadas  notas adhesivas y pluma ecológica.,in stock,new,58.84 MXN,https://printec.mx/product/portafolios-green-top/,https://www.doblevela.com/images/large/PEC2728_lrg.jpg,PEC2728 A120030,https://www.doblevela.com/images/large/PEC2728_lrg.jpg,,beige,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,,4397,GREEN TOP,,58.84 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 33 x 37 x 61 cm,Unidad x Empaque: 50,Características caja master medida: 33 x 37 x 61 cm,Características caja master peso: 15 kg,
11914,libreta/ portafolio ecologico kairo pec4224 beige,portafolios ecológico con libreta de espiral metálico con 70 hojas rayadas (140 páginas). incluye pluma de papel reciclado y notas adhesivas.,in stock,new,57.58 MXN,https://printec.mx/product/portafolios-kairo/,https://www.doblevela.com/images/large/PEC4224_lrg.jpg,PEC4224 A120078,https://www.doblevela.com/images/large/PEC4224_lrg.jpg,,beige,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,,2416,KAIRO,,57.58 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 45.5 x 22.5 x 27 cm,Unidad x Empaque: 40,Características caja master medida: 45.5 x 22.5 x 27 cm,Características caja master peso: 12.5 kg,
11544,paraguas sao paulo pg1 (poliester) azul,paraguas bicolor con botón de apertura automático  varillas y eje de metal. cuenta con mango de plástico. 8 gajos.,in stock,new,98.08 MXN,https://printec.mx/product/paraguas-sao-paulo/,https://www.doblevela.com/images/large/PG1_lrg.jpg,PG1 A020198,https://www.doblevela.com/images/large/PG1_lrg.jpg,,"azul,negro",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,,21,SAO PAULO,,98.08 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13 x 21 x 97 cm,Unidad x Empaque: 24,Características caja master medida: 13 x 21 x 97 cm,Características caja master peso: 10 kg,
11982,paraguas bicolor jumbo golf pg11 negro/blanco,paraguas bicolor tipo golf de apertura manual con varillas y eje de metal. cuenta con mango de plástico. fabricado en poliéster  8 gajos.,in stock,new,100.69 MXN,https://printec.mx/product/paraguas-golf/,https://www.doblevela.com/images/large/PG11_lrg.jpg,PG11 APG11.36,https://www.doblevela.com/images/large/PG11_lrg.jpg,,negro,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,,0,GOLF,,100.69 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 104 x 19 x 17 cm,Unidad x Empaque: 24,Características caja master medida: 104 x 19 x 17 cm,Características caja master peso: 11 kg,
11286,paraguas de bolsillo brasilia pg14 blanco,paraguas de bolsillo de apertura manual y botón de cierre  varillas y eje de metal  mango de plástico y correa de cordón. 8 gajos. incluye funda.,in stock,new,87.82 MXN,https://printec.mx/product/paraguas-brasilia/,https://www.doblevela.com/images/large/PG14_lrg.jpg,PG14 APG14.01,https://www.doblevela.com/images/large/PG14_lrg.jpg,,"blanco,negro,naranja,rojo,rosa,amarillo,verde claro,azul,morado",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Poliéster,0,BRASILIA,PARAGUAS E IMPERMEABLES,87.82 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: Ø 99 x 55 cm MD CERRADO 24 cm,Unidad x Empaque: 60,Características caja master medida: 25 x 20 x 61 cm,Características caja master peso: 11,
8495,paraguas corinto pg2 rojo,paraguas con botón de apertura automático  varillas y eje de metal. cuenta con mango de madera. 8 gajos.,in stock,new,93.99 MXN,https://printec.mx/product/paraguas-corinto/,https://www.doblevela.com/images/large/PG2_lrg.jpg,PG2 A020110,https://www.doblevela.com/images/large/PG2_lrg.jpg,,"rojo,naranja",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Poliéster,0,CORINTO,PARAGUAS E IMPERMEABLES,93.99 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: Ø 96 x 73 cm,Unidad x Empaque: 48,Características caja master medida: 19 x 23.5 x 73.5 cm,Características caja master peso: 14,
11898,paraguas individual bahia pg7 negro,paraguas bicolor con botón de apertura automático  varillas y eje de metal  mango de plástico. 8 gajos.,in stock,new,63.89 MXN,https://printec.mx/product/paraguas-bahia/,https://www.doblevela.com/images/large/PG7_lrg.jpg,PG7 A020121,https://www.doblevela.com/images/large/PG7_lrg.jpg,,"negro,rojo",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,,4,BAHIA,,63.89 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 16 x 49 x 89 cm,Unidad x Empaque: 60,Características caja master medida: 16 x 49 x 89 cm,Características caja master peso: 22 kg,
9055,juguete ejecutivo pinart pi525 negro,antiestrés de escritorio de puntas móviles. se pueden formar figuras 3d al hacer presión con la mano o con algún objeto.,in stock,new,282.24 MXN,https://printec.mx/product/antiestress-pinart/,https://www.doblevela.com/images/large/PI525_lrg.jpg,PI525 A100118,https://www.doblevela.com/images/large/PI525_lrg.jpg,,negro,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico/Acrílico,214,PINART,RECREACION,282.24 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 17.7 x 12.6 x 4.8 cm,Unidad x Empaque: 10,Características caja master medida: 39 x 36.5 x 26.5 cm,Características caja master peso: 10,
